Ligand,"Affinity (kcal/mol)","Dist from rmsd l.b.","Dist from rmsd u.b."
1.pdbqt,-4.5,0.000,0.000
1.pdbqt,-4.4,1.459,2.984
1.pdbqt,-4.2,1.248,2.556
1.pdbqt,-4.2,1.224,2.912
1.pdbqt,-4.1,1.147,2.945
1.pdbqt,-4.0,1.288,3.478
1.pdbqt,-4.0,1.084,2.644
1.pdbqt,-4.0,1.280,2.709
1.pdbqt,-3.9,1.047,3.237
10.pdbqt,-4.5,0.000,0.000
10.pdbqt,-4.5,1.407,2.483
10.pdbqt,-4.3,2.342,5.000
10.pdbqt,-4.2,1.380,2.373
10.pdbqt,-4.1,2.685,5.140
10.pdbqt,-4.1,1.511,2.244
10.pdbqt,-4.0,1.490,2.268
10.pdbqt,-4.0,2.798,4.924
10.pdbqt,-3.9,2.693,4.467
11.pdbqt,-4.6,0.000,0.000
11.pdbqt,-4.5,1.389,2.806
11.pdbqt,-4.3,2.331,3.307
11.pdbqt,-4.3,14.595,16.238
11.pdbqt,-4.0,2.541,3.628
11.pdbqt,-4.0,2.726,4.703
11.pdbqt,-4.0,2.598,4.262
11.pdbqt,-3.9,2.515,3.978
11.pdbqt,-3.9,2.218,3.507
12.pdbqt,-5.2,0.000,0.000
12.pdbqt,-4.9,1.250,5.287
12.pdbqt,-4.6,18.381,21.508
12.pdbqt,-4.4,13.170,16.328
12.pdbqt,-4.4,1.354,5.283
12.pdbqt,-4.4,1.648,3.972
12.pdbqt,-4.3,11.339,13.852
12.pdbqt,-4.2,11.041,14.142
12.pdbqt,-4.2,10.012,12.741
13.pdbqt,-5.5,0.000,0.000
13.pdbqt,-5.4,1.622,3.514
13.pdbqt,-5.4,1.584,4.835
13.pdbqt,-5.0,1.491,4.450
13.pdbqt,-5.0,9.316,11.902
13.pdbqt,-4.9,1.589,2.082
13.pdbqt,-4.8,1.608,3.669
13.pdbqt,-4.8,1.639,3.561
13.pdbqt,-4.8,15.440,17.880
14.pdbqt,-4.7,0.000,0.000
14.pdbqt,-4.5,1.159,4.779
14.pdbqt,-4.5,1.429,4.453
14.pdbqt,-4.4,1.356,4.849
14.pdbqt,-4.4,1.389,3.241
14.pdbqt,-4.4,1.359,2.483
14.pdbqt,-4.3,1.395,3.296
14.pdbqt,-4.3,1.533,2.797
14.pdbqt,-4.2,1.774,3.647
15.pdbqt,-5.4,0.000,0.000
15.pdbqt,-5.2,1.210,3.542
15.pdbqt,-5.1,1.450,4.726
15.pdbqt,-5.1,1.609,4.308
15.pdbqt,-5.1,1.214,2.310
15.pdbqt,-5.0,1.391,4.309
15.pdbqt,-5.0,1.506,4.339
15.pdbqt,-4.9,1.658,4.759
15.pdbqt,-4.8,10.593,12.740
16.pdbqt,-5.8,0.000,0.000
16.pdbqt,-5.0,1.546,3.457
16.pdbqt,-5.0,1.205,5.274
16.pdbqt,-4.9,1.448,3.469
16.pdbqt,-4.7,1.563,4.451
16.pdbqt,-4.6,1.535,4.481
16.pdbqt,-4.5,8.652,12.107
16.pdbqt,-4.5,9.751,12.429
16.pdbqt,-4.4,2.144,5.168
17.pdbqt,-6.0,0.000,0.000
17.pdbqt,-5.6,1.231,4.736
17.pdbqt,-5.5,1.456,5.344
17.pdbqt,-5.4,1.553,2.855
17.pdbqt,-5.1,1.616,2.581
17.pdbqt,-4.7,1.736,4.508
17.pdbqt,-4.7,1.407,3.311
17.pdbqt,-4.7,8.736,11.839
17.pdbqt,-4.7,1.875,4.683
18.pdbqt,-5.7,0.000,0.000
18.pdbqt,-5.5,1.257,3.831
18.pdbqt,-5.3,1.081,3.823
18.pdbqt,-5.2,1.473,3.928
18.pdbqt,-5.2,1.408,4.024
18.pdbqt,-5.2,1.293,5.144
18.pdbqt,-5.0,1.558,4.225
18.pdbqt,-4.9,1.146,4.142
18.pdbqt,-4.9,10.801,12.398
19.pdbqt,-5.7,0.000,0.000
19.pdbqt,-5.0,1.900,4.085
19.pdbqt,-4.9,2.394,5.381
19.pdbqt,-4.9,2.303,4.247
19.pdbqt,-4.8,2.418,3.388
19.pdbqt,-4.7,1.980,3.819
19.pdbqt,-4.6,2.016,4.057
19.pdbqt,-4.6,15.686,18.156
19.pdbqt,-4.5,1.888,3.485
2.pdbqt,-4.3,0.000,0.000
2.pdbqt,-4.3,1.474,2.802
2.pdbqt,-4.3,1.385,2.599
2.pdbqt,-4.2,1.129,3.307
2.pdbqt,-4.1,1.237,3.227
2.pdbqt,-4.1,1.434,2.958
2.pdbqt,-4.0,1.112,3.085
2.pdbqt,-4.0,1.281,2.851
2.pdbqt,-4.0,1.126,1.283
20.pdbqt,-5.5,0.000,0.000
20.pdbqt,-5.4,1.284,4.317
20.pdbqt,-5.4,1.161,4.201
20.pdbqt,-5.3,1.429,5.275
20.pdbqt,-5.1,1.764,5.020
20.pdbqt,-5.1,10.419,12.111
20.pdbqt,-5.0,2.618,6.274
20.pdbqt,-4.9,11.503,14.317
20.pdbqt,-4.7,11.359,13.813
3.pdbqt,-3.8,0.000,0.000
3.pdbqt,-3.7,1.480,3.399
3.pdbqt,-3.6,1.739,3.425
3.pdbqt,-3.6,0.812,2.332
3.pdbqt,-3.6,1.256,3.035
3.pdbqt,-3.5,1.217,3.775
3.pdbqt,-3.4,1.242,3.930
3.pdbqt,-3.4,1.317,3.500
3.pdbqt,-3.3,1.150,2.106
4.pdbqt,-4.3,0.000,0.000
4.pdbqt,-4.2,1.077,3.269
4.pdbqt,-4.1,1.353,2.887
4.pdbqt,-4.0,1.265,2.453
4.pdbqt,-3.9,1.302,3.238
4.pdbqt,-3.8,1.410,3.152
4.pdbqt,-3.8,1.344,3.243
4.pdbqt,-3.7,1.355,2.774
4.pdbqt,-3.7,1.482,3.006
5-Fluorouracil.pdbqt,-4.2,0.000,0.000
5-Fluorouracil.pdbqt,-4.1,1.500,2.273
5-Fluorouracil.pdbqt,-4.0,2.004,2.467
5-Fluorouracil.pdbqt,-3.7,1.953,2.414
5-Fluorouracil.pdbqt,-3.6,13.149,13.731
5-Fluorouracil.pdbqt,-3.6,12.739,13.616
5-Fluorouracil.pdbqt,-3.4,26.107,27.081
5-Fluorouracil.pdbqt,-3.3,2.269,3.363
5-Fluorouracil.pdbqt,-3.3,26.449,27.380
5.pdbqt,-4.1,0.000,0.000
5.pdbqt,-4.0,2.120,3.243
5.pdbqt,-4.0,2.610,4.388
5.pdbqt,-3.9,2.431,4.052
5.pdbqt,-3.9,2.171,3.043
5.pdbqt,-3.8,0.596,4.689
5.pdbqt,-3.7,2.510,3.785
5.pdbqt,-3.7,1.993,4.587
5.pdbqt,-3.6,2.781,4.310
6.pdbqt,-4.5,0.000,0.000
6.pdbqt,-4.3,1.077,3.353
6.pdbqt,-4.3,1.246,3.069
6.pdbqt,-4.3,1.528,2.844
6.pdbqt,-4.2,1.195,1.660
6.pdbqt,-4.0,1.619,3.395
6.pdbqt,-4.0,14.307,16.517
6.pdbqt,-4.0,1.683,2.171
6.pdbqt,-3.9,1.767,2.682
7.pdbqt,-4.5,0.000,0.000
7.pdbqt,-4.3,1.639,2.362
7.pdbqt,-4.1,1.686,2.436
7.pdbqt,-4.1,1.852,2.541
7.pdbqt,-4.1,2.017,3.422
7.pdbqt,-4.1,1.663,2.849
7.pdbqt,-4.0,2.379,3.346
7.pdbqt,-4.0,14.303,16.042
7.pdbqt,-4.0,2.723,4.234
8.pdbqt,-4.3,0.000,0.000
8.pdbqt,-4.2,1.668,3.044
8.pdbqt,-4.0,1.764,2.924
8.pdbqt,-4.0,1.303,2.805
8.pdbqt,-3.9,15.636,17.321
8.pdbqt,-3.8,15.807,17.222
8.pdbqt,-3.8,1.442,1.874
8.pdbqt,-3.7,14.898,16.467
8.pdbqt,-3.5,15.277,16.756
9.pdbqt,-4.3,0.000,0.000
9.pdbqt,-4.2,1.244,2.455
9.pdbqt,-4.0,1.497,2.661
9.pdbqt,-4.0,1.889,3.171
9.pdbqt,-4.0,1.394,2.827
9.pdbqt,-3.9,1.538,3.109
9.pdbqt,-3.9,1.916,3.216
9.pdbqt,-3.8,1.850,3.360
9.pdbqt,-3.8,1.509,2.872
